 	X	Y	XM	YM	BX	BY	Width	Height	Angle	Length
1	462.000	318.000	0	0	432	318	60	1	0.955	60.004
2	431.667	287.667	0	0	430	258	3	60	-87.138	60.093
3	402.333	318.333	0	0	372	318	61	1	1.909	60.681
4	433.333	348.000	0	0	433	318	1	59	91.941	59.348
5	520.000	257.667	0	0	491	257	59	1	0.971	58.682
6	551.667	346.667	0	0	551	317	2	59	-88.059	59.367
7	523.667	376.333	0	0	494	376	59	0	0.000	59.333
8	521.167	317.833	0	0	491	318	60	0	0.955	60.334
9	460.333	257.667	0	0	431	258	59	0	0.000	59.333
10	371.333	289.000	0	0	371	259	1	60	-88.091	60.015
