 	X	Y	XM	YM	BX	BY	Width	Height
1	14.115	8.115	14.115	8.115	12	6	4	4
2	191.333	11.333	191.333	11.333	190	10	3	3
3	370.500	14.500	370.500	14.500	369	13	3	3
4	155.500	46.500	155.500	46.500	155	46	1	1
5	299.331	85.364	299.331	85.364	293	79	13	13
6	122.120	118.426	122.120	118.426	115	113	13	11
7	192.120	121.260	192.120	121.260	185	114	15	15
8	15.900	186.300	15.900	186.300	14	185	4	2
9	190.500	190.214	190.500	190.214	189	189	3	3
10	368.786	192.929	368.786	192.929	367	192	4	2
11	121.201	222.584	121.201	222.584	114	215	15	15
12	262.232	224.980	262.232	224.980	256	219	13	13
13	51.480	327.658	51.480	327.658	45	322	12	11
14	15.333	362.583	15.333	362.583	13	361	5	3
15	191.500	364.500	191.500	364.500	191	364	1	1
16	366.611	367.222	366.611	367.222	364	365	5	5
